Success,Time,Radius,Dataset
True,28,0.018,TD3
True,37,0.018,TD3
True,60,0.018,TD3
True,39,0.018,TD3
True,65,0.018,TD3
True,23,0.018,TD3
True,85,0.018,TD3
False,500,0.018,TD3
True,85,0.018,TD3
True,60,0.018,TD3
True,88,0.018,TD3
False,500,0.018,TD3
True,51,0.018,TD3
True,44,0.018,TD3
True,73,0.018,TD3
True,54,0.018,TD3
True,86,0.018,TD3
True,60,0.018,TD3
True,73,0.018,TD3
True,39,0.018,TD3
True,77,0.018,TD3
True,41,0.018,TD3
True,92,0.018,TD3
True,60,0.018,TD3
True,20,0.018,TD3
True,29,0.018,TD3
True,51,0.018,TD3
True,235,0.018,TD3
True,53,0.018,TD3
True,30,0.018,TD3
True,55,0.018,TD3
True,61,0.018,TD3
True,46,0.018,TD3
True,47,0.018,TD3
True,87,0.018,TD3
True,22,0.018,TD3
True,40,0.018,TD3
True,43,0.018,TD3
True,44,0.018,TD3
True,55,0.018,TD3
True,64,0.018,TD3
True,74,0.018,TD3
True,54,0.018,TD3
True,74,0.018,TD3
True,53,0.018,TD3
False,500,0.018,TD3
True,60,0.018,TD3
True,77,0.018,TD3
True,57,0.018,TD3
True,70,0.018,TD3
True,51,0.018,TD3
True,79,0.018,TD3
True,81,0.018,TD3
True,87,0.018,TD3
True,70,0.018,TD3
True,21,0.018,TD3
True,61,0.018,TD3
True,80,0.018,TD3
True,32,0.018,TD3
True,53,0.018,TD3
True,80,0.018,TD3
True,107,0.018,TD3
True,51,0.018,TD3
True,25,0.018,TD3
True,51,0.018,TD3
True,52,0.018,TD3
True,79,0.018,TD3
True,36,0.018,TD3
True,102,0.018,TD3
True,27,0.018,TD3
True,45,0.018,TD3
True,44,0.018,TD3
True,34,0.018,TD3
True,58,0.018,TD3
True,56,0.018,TD3
True,42,0.018,TD3
True,52,0.018,TD3
True,34,0.018,TD3
True,58,0.018,TD3
True,51,0.018,TD3
True,43,0.018,TD3
True,35,0.018,TD3
True,62,0.018,TD3
True,14,0.017,TD3
True,52,0.017,TD3
True,71,0.017,TD3
True,69,0.017,TD3
True,29,0.017,TD3
True,48,0.017,TD3
True,38,0.017,TD3
True,83,0.017,TD3
True,39,0.017,TD3
True,51,0.017,TD3
True,43,0.017,TD3
True,89,0.017,TD3
True,82,0.017,TD3
True,103,0.017,TD3
True,36,0.017,TD3
True,50,0.017,TD3
True,92,0.017,TD3
True,71,0.017,TD3
True,105,0.017,TD3
True,57,0.017,TD3
True,89,0.017,TD3
True,51,0.017,TD3
True,68,0.017,TD3
True,87,0.017,TD3
True,104,0.017,TD3
True,40,0.017,TD3
True,84,0.017,TD3
True,51,0.017,TD3
True,92,0.017,TD3
True,53,0.017,TD3
True,57,0.017,TD3
True,27,0.017,TD3
True,44,0.017,TD3
True,22,0.017,TD3
True,59,0.017,TD3
True,50,0.017,TD3
True,25,0.017,TD3
